Year,Month,State,Location,Food,Ingredient,Species,Genus,Serotype/Genotype,Status,Illnesses,Hospitalizations,Fatalities
2005,August,Michigan,Religious Facility,Taco Meat,Ground Beef,Bacillus cereus,Bacillus,,Confirmed,27,0,0
2005,August,New York,Restaurant,Rice And Peas,Rice,Bacillus cereus,Bacillus,,Suspected,16,0,0
2005,March,North Carolina,Religious Facility,"Beef, Unspecified; Cake, Custard-Filled",,Bacillus cereus,Bacillus,,Confirmed,6,0,0
2005,September,Republic of Palau,Private Home/Residence,"Fried Rice, Unspecified",,Bacillus cereus,Bacillus,,Suspected,6,0,0
2005,May,Washington,Restaurant,"Fried Rice, Unspecified",,Bacillus cereus,Bacillus,,Suspected,5,0,0
2005,July,Minnesota,Restaurant,Tzatziki Sauce,,Bacillus cereus,Bacillus,,Confirmed,4,0,0
2005,March,Florida,Restaurant,Cheese Fondue,,Bacillus cereus,Bacillus,,Suspected,3,,
2005,June,Ohio,Restaurant,Sauces,,Bacillus cereus,Bacillus,,Suspected,3,0,0
2005,October,Florida,Restaurant,Crab Rangoon,,Bacillus cereus,Bacillus,,Suspected,3,,
2005,October,New York,Restaurant,"Roast Beef, Other",Beef; Sauces/ Dressings,Bacillus cereus,Bacillus,,Suspected,3,0,0
2005,February,California,Restaurant,,,Bacillus cereus,Bacillus,,Suspected,2,0,0
2005,March,Washington,Restaurant,"Rice, Unspecified; Chicken, Teriyaki",,Bacillus cereus,Bacillus,,Suspected,2,0,0
2005,September,Washington,Restaurant,"Fried Rice, Unspecified",,Bacillus cereus,Bacillus,,Suspected,2,0,0
2005,October,Florida,Restaurant,"Ethnic Style, Buffet",,Bacillus cereus,Bacillus,,Suspected,2,,
2005,July,California,Catering Service,Multiple Foods,,Bacillus cereus; Clostridium perfringens,Bacillus,,Suspected; Suspected,114,0,0
2005,October,Iowa,Catering Service,"Corn, Unspecified; Roast Beef, Unspecified",Produce; Beef,Bacillus cereus; Clostridium perfringens,Bacillus,,Suspected; Suspected,41,0,0
2005,February,California,Private Home/Residence,Multiple Foods,,Bacillus cereus; Clostridium perfringens,Bacillus,,Suspected; Suspected,32,0,0
2005,July,California,Restaurant,"Sushi, Unspecified",,Bacillus cereus; Clostridium perfringens,Bacillus,,Suspected; Suspected,25,0,0
2005,March,California,Restaurant; Grocery Store,"Salsa, Unspecified; Chicken, Unspecified",,Bacillus cereus; Clostridium perfringens,Bacillus,,Suspected; Suspected,14,0,0
2005,February,California,Restaurant,Multiple Foods,,Bacillus cereus; Clostridium perfringens,Bacillus,,Suspected; Suspected,10,0,0
2005,January,California,Restaurant,,,Bacillus cereus; Clostridium perfringens,Bacillus,,Suspected; Suspected,9,0,0
